1|Washington Nationals|http://sports.cbsimg.net/images/mlb/logos/90x90/WAS.png
2|Pittsburgh Pirates|http://sports.cbsimg.net/images/mlb/logos/90x90/PIT.png
3|St. Louis Cardinals|http://sports.cbsimg.net/images/mlb/logos/90x90/STL.png
4|Seattle Mariners|http://sports.cbsimg.net/images/mlb/logos/90x90/SEA.png
6|Los Angeles Dodgers|http://sports.cbsimg.net/images/mlb/logos/90x90/LAD.png
7|Los Angeles Angels|http://sports.cbsimg.net/images/mlb/logos/90x90/LAA.png
8|Detroit Tigers|http://sports.cbsimg.net/images/mlb/logos/90x90/DET.png
9|Baltimore Orioles|http://sports.cbsimg.net/images/mlb/logos/90x90/BAL.png
10|San Francisco Giants|http://sports.cbsimg.net/images/mlb/logos/90x90/SF.png
11|Boston Red Sox|http://sports.cbsimg.net/images/mlb/logos/90x90/BOS.png
12|Kansas City Royals|http://sports.cbsimg.net/images/mlb/logos/90x90/KC.png
13|Toronto Blue Jays|http://sports.cbsimg.net/images/mlb/logos/90x90/TOR.png
14|Chicago Cubs|http://sports.cbsimg.net/images/mlb/logos/90x90/CHC.png
15|Chicago White Sox|http://sports.cbsimg.net/images/mlb/logos/90x90/CHW.png
16|San Diego Padres|http://sports.cbsimg.net/images/mlb/logos/90x90/SD.png
17|New York Mets|http://sports.cbsimg.net/images/mlb/logos/90x90/NYM.png
18|New York Yankees|http://sports.cbsimg.net/images/mlb/logos/90x90/NYY.png
19|Miami Marlins|http://sports.cbsimg.net/images/mlb/logos/90x90/MIA.png
20|Oakland Athletics|http://sports.cbsimg.net/images/mlb/logos/90x90/OAK.png
21|Milwaukee Brewers|http://sports.cbsimg.net/images/mlb/logos/90x90/MIL.png
22|Tampa Bay Rays|http://sports.cbsimg.net/images/mlb/logos/90x90/TB.png
23|Cincinnati Reds|http://sports.cbsimg.net/images/mlb/logos/90x90/CIN.png
24|Houston Astros|http://sports.cbsimg.net/images/mlb/logos/90x90/HOU.png
25|Texas Rangers|http://sports.cbsimg.net/images/mlb/logos/90x90/TEX.png
26|Minnesota Twins|http://sports.cbsimg.net/images/mlb/logos/90x90/MIN.png
27|Colorado Rockies|http://sports.cbsimg.net/images/mlb/logos/90x90/COL.png
28|Atlanta Braves|http://sports.cbsimg.net/images/mlb/logos/90x90/ATL.png
29|Arizona Diamondbacks|http://sports.cbsimg.net/images/mlb/logos/90x90/ARI.png
30|Philadelphia Phillies|http://sports.cbsimg.net/images/mlb/logos/90x90/PHI.png
5|Cleveland Indians|http://sports.cbsimg.net/images/mlb/logos/90x90/CLE.png
